=== Started 2025-04-11T20-19-17-080 ===
[INFO ][20:19:17] [1m[32mMultiOgar 1.3.5[37m - An open source multi-protocol ogar server[0m
[WARN ][20:19:17] ./ipbanlist.txt is missing.
[WARN ][20:19:17] User account "Local Administrator" disabled
[WARN ][20:19:17] User account "Local Moderator" disabled
[WARN ][20:19:17] User account "Local User" disabled
[INFO ][20:19:17] 0 user records loaded.
[INFO ][20:19:17] 25 bad words loaded
[WARN ][20:19:17] TLS: not supported (SSL certificate not found!)
[INFO ][20:19:17] WebSocket: ws
[INFO ][20:19:17] Started stats server on port 88
[INFO ][20:19:17] Listening on port 443
[INFO ][20:19:17] Current game mode is FFA
[INFO ][20:19:17] Added 70 player bots
[ERROR][20:19:17] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:19:17] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:19:17] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:19:17] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[NONE ][20:19:17]  Player has joined the server!
[NONE ][20:19:17] CONNECTED    127.0.0.1:52229, origin: "null"
[INFO ][20:19:17] Added 14 minions
[ERROR][20:19:17] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:19:17] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:19:17] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:19:17] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:19:28] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:19:28] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:19:28] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:19:28] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:19:28] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:19:28] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:19:29] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:19:29] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:19:40] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:19:40] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:19:40] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:19:40] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:19:40] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:19:40] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:19:40] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:19:40] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:19:51] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:19:51] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:19:51] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:19:51] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:19:51] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:19:51] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:19:52] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:19:52] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:20:03] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:20:03] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:20:03] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:20:03] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:20:03] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:20:03] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:20:03] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:20:03] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:20:14] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:20:14] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:20:14] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:20:14] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:20:15] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:20:15] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
[ERROR][20:20:15] [Tracker][ogar-tracker.tk]: Error: getaddrinfo ENOTFOUND ogar-tracker.tk ogar-tracker.tk:80
[ERROR][20:20:15] [Tracker][c0nsume.me]: Error: getaddrinfo ENOTFOUND c0nsume.me c0nsume.me:80
